ID_Number,Commercial_name,Abbreviation,Chemical_name,Chain_Type,Chemical_Group_(Amorph/Crystalline),Yield_Strenght_MPa_0_min,Yield_Strenght_MPa_0_max,Yield_Strenght_MPa_90_min,Yield_Strenght_MPa_90_max,Tensile_Strain_%_0_min,Tensile_Strain_%_0_max,Tensile_Strain_%_90_min,Tensile_Strain_%_90_max,Young_Modulus_MPa_0
5_01_01,Ultrafuse ABS,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,36.3,,21.3,,7.4,,1.8,,1958
5_01_02,ABS Pro,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,45,,,,,,,,2300
5_01_03,BIGREP ABS,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,30,,,,,,,,1400
5_01_04,Filamentworld ABS,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,32,,,,,,,,
5_01_05,Ultimaker ABS,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,39,,,,3.5,,,,1681.5
5_01_06,IEMAI 3D ABS,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,46,,,,2.5,,,,2270
5_01_07,ABS Extrafill,ABS,Acrylnitril-Butadien-Styrol,Copolymer,Thermoplast Amorph,32,,,,,,,,
5_02_01,INFINAM PEEK 9359 F,PEEK,Polyetheretherketon,Polyaryletherketone,Thermoplast Teilkristallin,90,,,,5,,,,
5_02_02,IEMAI 3D PEEK,PEEK,Polyetheretherketon,Polyaryletherketone,Thermoplast Teilkristallin,100,,,,,,,,
5_02_03,3D4MAKERS PEEK,PEEK,Polyetheretherketon,Polyaryletherketone,Thermoplast Teilkristallin,105,,,,,,,,4100
5_02_04,TDS.PK.01,PEEK,Polyetheretherketon,Polyaryletherketone,Thermoplast Teilkristallin,89,,86,,,,,,3400
5_02_05,ThermaX PEEK,PEEK,Polyetheretherketon,Polyaryletherketone,Thermoplast Teilkristallin,100,,,,,,,,3720
5_03_01,Prusament PLA,PLA,Polylactide,Polyester,Thermoplast Teilkristallin,48.4,53.2,33.6,41.6,2.6,3.2,1.6,2.3,2100
5_03_02,BCN3D PLA,PLA,Polylactide,Polyester,Thermoplast Teilkristallin,70,,,,5,,,,3120
5_03_03,Verbatim PLA Filament,PLA,Polylactide,Polyester,Thermoplast Teilkristallin,63,,,,4,,,,
5_03_04,tm filament PLA,PLA,Polylactide,Polyester,Thermoplast Teilkristallin,52,,,,,,,,1320
5_03_05,Raise3D Premium PLA,PLA,Polylactide,Polyester,Thermoplast Teilkristallin,45.7,47.5,,,,,,,2306
5_03_06,,PLA,Polylactide,Polyester,Thermoplast Teilkristallin,54.7,,37.1,,,,,,3376
5_04_01,Nylon (PA) AMPERTEC,PA 6,Polyamid 6,Amidgruppe,Thermoplast Teilkristallin,65,,,,231.3,,,,
5_04_02,Spectrum Filaments PA6,PA 6,Polyamid 6,Amidgruppe,Thermoplast Teilkristallin,80,,,,4,,,,3300
5_04_03,Elkamet PA 6,PA 6,Polyamid 6,Amidgruppe,Thermoplast Teilkristallin,74,,,,,,,,3400
5_04_04,Novamid 1010C2 PA6,PA 6,Polyamid 6,Amidgruppe,Thermoplast Teilkristallin,85,,,,4.2,,,,3100
5_04_05,Novamid 1013C5 PA6,PA 6,Polyamid 6,Amidgruppe,Thermoplast Teilkristallin,82,,,,,,,,3100
5_05_01,HIPS-X Filament,HIPS,High Impact Polystyrene,,Thermoplast Teilkristallin,16,,,,6,,,,
5_05_02,IEMAI HIPS,HIPS,High Impact Polystyrene,,Thermoplast Teilkristallin,40,,,,,,,,1350